"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30709329","宋倩倩","000037,006591,006592,006870,006871,006998,006999,009532,270048,270049",204,1.84,"006591","广发景明中短债A"
"30710134","宋青涛","009113",197,15.26,"009113","浙商汇金卓越优选3个月(FOF)"
"30512488","苏卿云","000373,000376,005747,005748,006129,006130,007228,007229,040038,040039,040190,160418,510190,511600,512120,512260,512270,512860",1524,86.82,"512860","华安MSCI中国ETF"
"30162188","沈荣","001968,001969,002405,002406,003065,003066,005426,005992,005993,009251,009761,010600,010601,360003,360019",1298,22.95,"002405","光大中高等级债券A"
"30682356","宋仁杰","003378,005014,005015,010874,010875",523,98.02,"003378","泰康策略优选混合"
"30690782","施荣盛","006346,006347,167503,167506,167507",404,49.61,"006346","安信量化优选股票A"
"30723566","沈若雨","002419",39,-0.35,"002419","汇添富盈安灵活配置混合"
"30438881","孙晟","001276,001825",1788,127.31,"001825","建信中国制造2025"
"30276508","孙松","001184",788,173.97,"001184","易方达新常态灵活配置混合"
"30349210","孙绍冰","000755,009380",2101,56.93,"000755","富安达新兴成长混合"
"30372525","孙少锋","002813,002814,050007,050012",1977,118.26,"050012","博时策略混合"
"30638092","宋绍峰","004942,004943,006181,006182,007533,007534",810,70.58,"007533","格林创新成长混合A"
"30522355","尚烁徽","004374,004375,005904,005905,006642,006882,006883,007586",1429,212.14,"006642","华泰保兴吉年利定开"
"30080140","施同亮","000419,000420,009816",1503,18.07,"000419","大摩优质信价纯债A"
"30422139","孙伟","009576,011032,169104,501054",1856,247.09,"169104","东方红睿满沪港深混合(LOF)"
"30349211","孙伟","002656,002900,004069,004070,004343,004345,004347,004597,004598,005554,005555,007571,010183,010722,159903,159948,159954,160135,160136,202017,202025,510290,512330,512700,512900",2101,75.46,"004343","南方创业板ETF联接C"
"30040362","史伟","010755",2446,11.85,"010755","博道睿见一年持有期混合"
"30355675","沙炜","001236,002556,009740,009741,011340,011341",2101,214.76,"002556","博时丝路主题股票C"
"30297382","孙伟","000136,006058,006072,009659,009660,009709,009826,009827,010116,010117,010420,501200",2420,587.67,"000136","民生加银策略精选混合A"
